구분별(1),구분별(2),2012,2012,2012,2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018
구분별(1),구분별(2),제도유무,제도유무,제도유무,쉽게 사용할 수 있다,쉽게 사용할 수 있다,쉽게 사용할 수 있다,전년도 사용여부,전년도 사용여부,전년도 사용여부,제도유무,제도유무,제도유무,쉽게 사용할 수 있다,쉽게 사용할 수 있다,전년도 사용여부,전년도 사용여부,제도유무,제도유무,제도유무,쉽게 사용할 수 있다,쉽게 사용할 수 있다,전년도 사용여부,전년도 사용여부,제도유무,제도유무,제도유무,쉽게 사용할 수 있다,쉽게 사용할 수 있다,전년도 사용여부,전년도 사용여부
구분별(1),구분별(2),있음,없음,모름,예,아니오,무응답,사용,비사용,무응답,있음,없음,모름,예,아니오,사용,비사용,있음,없음,모름,예,아니오,사용,비사용,있음,없음,모름,예,아니오,사용,비사용
전체,소계,98.6,0.2,1.2,94.6,4.7,0.8,9.9,89.9,0.2,98.7,0.5,0.9,96.9,3.1,10.3,89.7,98.1,0.5,1.4,96.4,3.6,8.4,91.6,95,0.7,4.3,95,5,9,91
규모,100∼299인,96.9,0.6,2.5,92.3,6.7,1,11.5,88.5,0,96.1,2.1,1.7,96.9,3.1,7.4,92.6,97.8,1,1.2,97.4,2.6,12.1,87.9,93.3,1.8,4.9,92.5,7.5,9.9,90.1
규모,300∼999인,99,0,1,94.8,4,1.2,13.2,86.8,0,98.8,0,1.2,94.9,5.1,7.1,92.9,97.6,0,2.4,93.9,6.1,7.7,92.3,95,1.1,3.9,94.7,5.3,7.8,92.2
규모,1000∼1999인,99.8,0.2,0,97.4,2.6,0,7.8,92.2,0,99.1,0,0.9,97.9,2.1,22.1,77.9,99.8,0,0.2,97.6,2.4,6,94,92.6,1.5,5.9,98.6,1.4,8.3,91.7
규모,2000인 이상,99.1,0.9,0,95.1,4.4,0.5,7.3,92.3,0.5,99.6,0,0.4,98.3,1.7,10,90,98.2,0.5,1.3,96.8,3.2,7.1,92.9,96.2,0,3.8,95.2,4.8,9.4,90.6
직급,a. 대리급,97.9,0.2,1.9,94.7,4.9,0.4,13.3,86.7,0,99.3,0.2,0.5,93.8,6.2,11.1,88.9,98.7,0.6,0.7,94.5,5.5,9.2,90.8,92.2,1,6.8,93.1,6.9,10.9,89.1
직급,b. 과장급,99.7,0.1,0.2,92.2,6.5,1.3,11.2,88.3,0.5,98.7,0.1,1.2,97.9,2.1,16.4,83.6,97.7,0.9,1.4,94.7,5.3,10.8,89.2,97.7,0.2,2.1,96.3,3.7,9,91
직급,c. 차장급 이상,98.1,0.3,1.7,97.3,2.2,0.4,4.7,95.3,0,98.2,1,0.9,98.2,1.8,4.3,95.7,98.2,0.2,1.5,97.9,2.1,7,93,97.5,1.1,1.4,97.3,2.7,4.8,95.2
