"행정구역별","연령·교육정도별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","전체","15-54세 기혼 여성","명","10033253.343","9939747.268","9868068.79","9733111.246","9561079.825","9375634.336","9158453.099","9005282.984","8843813.815","8577825.686","8322516.855",
"전국","전체","경제활동인구","명","6017936.959","5925963.386","5861049.543","5936945.379","5859372.01","5785197.237","5742418.193","5706156.903","5622675.08","5309166.95","5229417.063",
"전국","전체","취업자","명","5887999.209","5818201.223","5744690.603","5776303.66","5697743.802","5649037.03","5584765.242","5548765.559","5477561.6","5157572.463","5082297.584",
"전국","전체","실업자","명","129937.75","107762.163","116358.94","160641.719","161628.208","136160.207","157652.951","157391.344","145113.48","151594.487","147119.479",
"전국","전체","비경제활동인구","명","4015316.384","4013783.882","4007019.247","3796165.867","3701707.815","3590437.099","3416034.906","3299126.08","3221138.735","3268658.736","3093099.792",
"전국","전체","비취업자(실업자+비경활)","명","4145254.134","4121546.045","4123378.187","3956807.586","3863336.023","3726597.306","3573687.857","3456517.425","3366252.215","3420253.223","3240219.271",
"전국","전체","경력단절여성","명","1925577.662","2011400.529","1980010.548","2163760.365","2073335.599","1924305.633","1831345.658","1846491.671","1698560.239","1505539.794","1448056.941",
"전국","전체","경제활동참가율","%","59.97992","59.61885","59.39409","60.99741","61.28358","61.7046","62.70074","63.36455","63.57749","61.89409","62.8",
"전국","전체","실업률","%","2.15917","1.81848","1.98529","2.7058","2.75846","2.3536","2.74541","2.75827","2.58086","2.85533","2.8",
"전국","전체","고용률","%","58.68485","58.5347","58.21494","59.34694","59.5931","60.25232","60.97935","61.61678","61.93665","60.1268","97.2",
"전국","전체","경력단절여성 비율 1","%","19.19196","20.23593","20.06482","22.23092","21.68516","20.52454","19.99623","20.50454","19.2062","17.55153","17.4",
"전국","전체","경력단절여성 비율 2","%","46.45258","48.80209","48.01914","54.6845","53.66698","51.63707","51.24526","53.42058","50.4585","44.01837","44.7",
"전국","15-19세","15-54세 기혼 여성","명","3328.3","2679.584","2916.435","3058.894","1629.457","2113.948","2870.536","2490.854","692.111","823.769","965.405",
"전국","15-19세","경제활동인구","명","799.825","467.282","847.523","630.526","528.912","586.495","690.811","1274.036","42.602","145.51","145.614",
"전국","15-19세","취업자","명","799.825","467.282","846.523","630.526","528.912","585.495","472.283","1274.04","42.602","145.51","145.614",
"전국","15-19세","실업자","명","0","0","1","0","0","1","218.528","0","0","0","0",
"전국","15-19세","비경제활동인구","명","2528.475","2212.302","2068.912","2428.368","1100.545","1527.453","2179.725","1216.818","649.509","678.259","819.791",
"전국","15-19세","비취업자(실업자+비경활)","명","2528.475","2212.302","2069.912","2428.368","1100.545","1528.453","2398.253","1216.818","649.509","678.259","819.791",
"전국","15-19세","경력단절여성","명","526.435","107.614","480.222","630.005","184.219","591.654","616.239","231.873","181.275","53.269","35.959",
"전국","15-19세","경제활동참가율","%","24.03104","17.4386","29.06024","20.61288","32.4594","27.74406","24.06558","51.14856","6.15537","17.66393","15.1",
"전국","15-19세","실업률","%","0","0",".11799","0","0",".1705","31.63354","0","0","0","0",
"전국","15-19세","고용률","%","24.03104","17.4386","29.02595","20.61288","32.4594","27.69676","16.45278","51.14856","6.15537","17.66393","100",
"전국","15-19세","경력단절여성 비율 1","%","15.81693","4.01607","16.46606","20.59584","11.30555","27.98811","21.46773","9.30898","26.19161","6.4665","3.7",
"전국","15-19세","경력단절여성 비율 2","%","20.82026","4.86434","23.20012","25.94356","16.73889","38.70934","25.69533","19.05568","27.90954","7.85378","4.4",
"전국","20-24세","15-54세 기혼 여성","명","86837.033","82086.419","78365.7","73944.874","68407.92","70340.18","71430.775","65238.23","63485.937","43486.041","35764.298",
