"성별","직업대분류별","연령별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"전체","계","계","월임금총액","원","2710361.5","2785032.5","2915717.41667","2997422.5","3116400.75","3235209.25","3268854.83333","3351000","3446000","3593000","3720000",
"전체","계","계","월급여액","원","2270303","2360466","2454269","2566585","2659549","2753757","2819807","2892000","3002000","3137000","3259000",
"전체","계","계","정액급여","원","2114525","2191824","2267991","2370888","2450769","2545109","2607496","2686000","2779000","2911000","3042000",
"전체","계","계","초과급여","원","155777","168642","186278","195697","208780","208647","212310","207000","222000","225000","216000",
"전체","계","계","연간특별급여액","원","5280702","5094798","5537381","5170050","5482221","5777427","5388574","5508000","5338000","5475000","5537000",
"전체","계","계","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","19세이하","월임금총액","원","1205429.08333","1063167.33333","1388675.91667","1522580","1515083.33333","1500929.41667","1434892.5","1422000","1612000","1672000","1882000",
"전체","계","19세이하","월급여액","원","1105660","1021546","1266542","1362512","1397557","1428674","1376650","1377000","1563000","1627000","1828000",
"전체","계","19세이하","정액급여","원","947952","895496","1082019","1143049","1195424","1233226","1211229","1212000","1401000","1479000","1678000",
"전체","계","19세이하","초과급여","원","157709","126050","184522","219463","202134","195449","165421","165000","162000","148000","150000",
"전체","계","19세이하","연간특별급여액","원","1197229","499456","1465607","1920816","1410316","867065","698910","531000","580000","540000","640000",
"전체","계","19세이하","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","20~24세","월임금총액","원","1528142.41667","1542138.58333","1737512.75","1763367.83333","1832157.75","1943011.5","1885258.66667","1932000","1968000","2100000","2265000",
"전체","계","20~24세","월급여액","원","1381373","1427285","1574716","1618245","1672048","1748046","1763178","1819000","1855000","1998000","2152000",
"전체","계","20~24세","정액급여","원","1252913","1296772","1419853","1450602","1491617","1555037","1586033","1650000","1690000","1831000","1981000",
"전체","계","20~24세","초과급여","원","128459","130513","154863","167642","180431","193009","177145","169000","165000","168000","170000",
"전체","계","20~24세","연간특별급여액","원","1761233","1378243","1953561","1741474","1921317","2339586","1464968","1354000","1350000","1219000","1359000",
"전체","계","20~24세","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","25~29세","월임금총액","원","2042395","2101711.91667","2228938.41667","2300927.08333","2389319.41667","2539483.5","2488199.83333","2565000","2623000","2747000","2856000",
"전체","계","25~29세","월급여액","원","1756874","1841398","1941567","2017468","2087441","2192116","2218486","2282000","2352000","2466000","2583000",
"전체","계","25~29세","정액급여","원","1631001","1706931","1783561","1855824","1907283","1996149","2017982","2096000","2156000","2266000","2389000",
"전체","계","25~29세","초과급여","원","125873","134467","158007","161644","180159","195967","200503","187000","196000","200000","194000",
"전체","계","25~29세","연간특별급여액","원","3426252","3123767","3448457","3401509","3622541","4168410","3236566","3392000","3246000","3368000","3265000",
"전체","계","25~29세","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","30~34세","월임금총액","원","2597993.33333","2687548.66667","2782602.08333","2846722.16667","2909759.75","3131658.91667","3056838","3191000","3239000","3376000","3456000",
"전체","계","30~34세","월급여액","원","2179924","2275741","2347959","2421873","2480102","2631297","2652619","2718000","2814000","2928000","3010000",
"전체","계","30~34세","정액급여","원","2041051","2122891","2174300","2238606","2278340","2420002","2436261","2514000","2594000","2700000","2795000",
"전체","계","30~34세","초과급여","원","138872","152849","173659","183267","201762","211296","216358","205000","220000","228000","215000",
"전체","계","30~34세","연간특별급여액","원","5016832","4941692","5215717","5098190","5155893","6004343","4850628","5676000","5096000","5377000","5343000",
"전체","계","30~34세","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","35~39세","월임금총액","원","3035648.66667","3115610.91667","3208506.66667","3303994.25","3370412.25","3579237","3605102.58333","3676000","3719000","3873000","4001000",
"전체","계","35~39세","월급여액","원","2512226","2613082","2690131","2821803","2866695","3012983","3070185","3115000","3212000","3333000","3442000",
"전체","계","35~39세","정액급여","원","2351645","2441515","2507964","2630356","2663187","2800928","2849870","2895000","2970000","3088000","3201000",
"전체","계","35~39세","초과급여","원","160581","171567","182167","191447","203508","212055","220315","220000","241000","244000","242000",
"전체","계","35~39세","연간특별급여액","원","6281072","6030347","6220508","5786295","6044607","6795048","6419011","6737000","6086000","6484000","6701000",
"전체","계","35~39세","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","40~44세","월임금총액","원","3264284","3325937.91667","3445930.25","3525258.66667","3609873.16667","3806099.66667","3895381.25","3928000","3980000","4159000","4293000",
"전체","계","40~44세","월급여액","원","2664077","2745738","2841466","2976097","3037010","3191497","3271882","3320000","3422000","3572000","3690000",
"전체","계","40~44세","정액급여","원","2467648","2545577","2632818","2757920","2815362","2968457","3042469","3100000","3182000","3328000","3448000",
"전체","계","40~44세","초과급여","원","196429","200161","208648","218177","221648","223039","229413","220000","240000","244000","241000",
"전체","계","40~44세","연간특별급여액","원","7202484","6962399","7253571","6589940","6874358","7375232","7481991","7288000","6701000","7051000","7241000",
"전체","계","40~44세","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","45~49세","월임금총액","원","3291674.16667","3342161.33333","3527957.33333","3571894","3689960.58333","3780207.33333","3865571.66667","3962000","4129000","4275000","4401000",
"전체","계","45~49세","월급여액","원","2696111","2769829","2887872","2987194","3078924","3164560","3252597","3349000","3513000","3655000","3774000",
"전체","계","45~49세","정액급여","원","2494517","2548899","2649180","2740093","2823751","2927955","3010429","3110000","3261000","3402000","3532000",
"전체","계","45~49세","초과급여","원","201594","220930","238692","247102","255173","236606","242168","239000","252000","253000","242000",
"전체","계","45~49세","연간특별급여액","원","7146758","6867988","7681024","7016400","7332439","7387768","7355696","7347000","7394000","7442000","7516000",
"전체","계","45~49세","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","50~54세","월임금총액","원","3145483.58333","3213980.75","3377188.83333","3440258.91667","3628918","3662197.08333","3742850.58333","3824000","4057000","4170000","4312000",
"전체","계","50~54세","월급여액","원","2605265","2685519","2772482","2903350","3033169","3107004","3182005","3271000","3458000","3575000","3711000",
"전체","계","50~54세","정액급여","원","2419729","2472800","2536405","2655730","2770477","2864828","2937952","3028000","3188000","3307000","3462000",
"전체","계","50~54세","초과급여","원","185535","212719","236076","247620","262692","242176","244053","243000","270000","268000","249000",
"전체","계","50~54세","연간특별급여액","원","6482623","6341541","7256482","6442907","7148988","6662317","6730147","6639000","7196000","7137000","7206000",
"전체","계","50~54세","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","55~59세","월임금총액","원","2753190","2802494.58333","2917754.33333","3023348.83333","3258964.58333","3205564.91667","3305730","3405000","3620000","3759000","3929000",
"전체","계","55~59세","월급여액","원","2378324","2427760","2483463","2626022","2804628","2801722","2906448","3006000","3159000","3301000","3454000",
"전체","계","55~59세","정액급여","원","2233618","2256113","2302866","2432389","2591028","2604641","2697562","2796000","2924000","3059000","3231000",
"전체","계","55~59세","초과급여","원","144706","171647","180597","193633","213599","197080","208885","211000","236000","243000","223000",
"전체","계","55~59세","연간특별급여액","원","4498392","4496815","5211496","4767922","5452039","4846115","4791384","4779000","5526000","5495000","5701000",
"전체","계","55~59세","임금격차","%","-","-","-","-","","","","","","","",
"전체","계","60세이상","월임금총액","원","1971274.25","2015098.91667","2007155.16667","2141245.33333","2295085.25","2254636.91667","2332787.25","2426000","2498000","2689000","2787000",
"전체","계","60세이상","월급여액","원","1821056","1866723","1855315","1995211","2145300","2106038","2181966","2285000","2357000","2547000","2654000",
"전체","계","60세이상","정액급여","원","1766985","1802700","1780262","1913004","2059032","2014943","2089828","2187000","2253000","2436000","2546000",
"전체","계","60세이상","초과급여","원","54071","64022","75053","82207","86269","91095","92138","98000","104000","111000","108000",
"전체","계","60세이상","연간특별급여액","원","1802619","1780511","1822082","1752412","1797423","1783187","1809855","1687000","1695000","1701000","1597000",
"전체","계","60세이상","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","계","월임금총액","원","5098698.58333","5303454.25","5840893.75","5975087.5","6357900.25","7238542.08333","7935853.75","8380000","8290000","8852000","9829000",
"전체","관리자","계","월급여액","원","4285756","4486340","4810208","4944050","5442474","6170801","6754899","7065000","7114000","7566000","8589000",
"전체","관리자","계","정액급여","원","4220091","4420707","4736395","4867153","5326202","6024986","6607065","6913000","6940000","7383000","8441000",
"전체","관리자","계","초과급여","원","65665","65633","73812","76897","116272","145816","147834","152000","174000","183000","148000",
"전체","관리자","계","연간특별급여액","원","9755311","9805371","12368229","12372450","10985115","12812893","14171457","15775000","14109000","15429000","14879000",
"전체","관리자","계","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","19세이하","월임금총액","원","-","-","-","872000","-","3008416.66667","","-","-","-","",
"전체","관리자","19세이하","월급여액","원","-","-","-","872000","-","2328000","-","-","-","-","",
"전체","관리자","19세이하","정액급여","원","-","-","-","872000","-","2328000","-","-","-","-","",
"전체","관리자","19세이하","초과급여","원","-","-","-","0","-","-","-","-","-","-","",
"전체","관리자","19세이하","연간특별급여액","원","-","-","-","0","-","8165000","-","-","-","-","",
"전체","관리자","19세이하","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","20~24세","월임금총액","원","2383740.58333","1765510.33333","4325674.5","2316574.83333","2738409.75","2270600.25","2623260.58333","2697000","2414000","2219000","3087000",
"전체","관리자","20~24세","월급여액","원","2023090","1712401","3793573","1828945","2481378","2102112","2424076","2599000","2320000","2175000","3040000",
"전체","관리자","20~24세","정액급여","원","2014071","1629273","3785386","1711278","2357584","1969148","2373012","2483000","2196000","1954000","3003000",
"전체","관리자","20~24세","초과급여","원","9019","83128","8187","117667","123793","132965","51063","115000","123000","221000","37000",
"전체","관리자","20~24세","연간특별급여액","원","4327807","637312","6385218","5851558","3084381","2021859","2390215","1182000","1126000","534000","567000",
"전체","관리자","20~24세","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","25~29세","월임금총액","원","2703162","2789522.75","2908798.33333","2918812.83333","2985049","3577740.58333","3226910","3831000","4004000","3937000","4861000",
"전체","관리자","25~29세","월급여액","원","2209768","2500635","2615940","2405124","2614051","3100728","2864068","3453000","3332000","3649000","4450000",
"전체","관리자","25~29세","정액급여","원","2130874","2389954","2481599","2305224","2409172","2933224","2702744","3257000","3122000","3271000","4223000",
"전체","관리자","25~29세","초과급여","원","78894","110681","134342","99900","204879","167504","161325","196000","210000","378000","227000",
"전체","관리자","25~29세","연간특별급여액","원","5920728","3466653","3514300","6164266","4451976","5724151","4354104","4525000","8061000","3457000","4934000",
"전체","관리자","25~29세","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","30~34세","월임금총액","원","3077437.33333","3190855.33333","3617195.66667","3886249.66667","3760328.75","4789196.58333","4404296.5","4186000","4970000","5433000","5516000",
"전체","관리자","30~34세","월급여액","원","2605926","2818073","3169136","3239593","3182498","4153182","3863251","3661000","4260000","5001000","4787000",
"전체","관리자","30~34세","정액급여","원","2518717","2718815","3071374","3106592","2963149","3925101","3660863","3443000","4093000","4747000","4680000",
"전체","관리자","30~34세","초과급여","원","87209","99259","97761","133001","219349","228081","202388","218000","168000","254000","107000",
"전체","관리자","30~34세","연간특별급여액","원","5658136","4473388","5376716","7759880","6933969","7632175","6492546","6299000","8514000","5190000","8749000",
"전체","관리자","30~34세","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","35~39세","월임금총액","원","4039068.75","4144967.41667","4482629.75","4406684.66667","4430999.41667","5734328.5","5566610.66667","5789000","5343000","6762000","6972000",
"전체","관리자","35~39세","월급여액","원","3375288","3589920","3804481","3571060","3877917","4885119","4711514","4796000","4680000","5830000","6369000",
"전체","관리자","35~39세","정액급여","원","3284077","3509514","3678761","3458694","3707718","4686122","4474156","4546000","4398000","5547000","6218000",
"전체","관리자","35~39세","초과급여","원","91211","80406","125720","112366","170199","198997","237358","250000","282000","284000","151000",
"전체","관리자","35~39세","연간특별급여액","원","7965369","6660569","8137785","10027496","6636989","10190514","10261160","11921000","7962000","11184000","7238000",
"전체","관리자","35~39세","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","40~44세","월임금총액","원","4710850.66667","4900467.16667","5304246.5","5193987.66667","5672454.75","6712437.16667","7125863.83333","7162000","7060000","7687000","8544000",
"전체","관리자","40~44세","월급여액","원","3930567","4230219","4373759","4328418","4878695","5674197","6046936","5824000","6182000","6441000","7439000",
"전체","관리자","40~44세","정액급여","원","3858244","4153981","4277593","4244657","4748017","5477777","5876998","5641000","5990000","6205000","7196000",
"전체","관리자","40~44세","초과급여","원","72324","76238","96167","83761","130678","196421","169938","183000","192000","236000","243000",
"전체","관리자","40~44세","연간특별급여액","원","9363404","8042978","11165850","10386836","9525117","12458882","12947134","16058000","10541000","14955000","13256000",
"전체","관리자","40~44세","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","45~49세","월임금총액","원","5408843.58333","5547078.25","6049644.08333","6298242.75","6894272.25","7789996.5","8183831.58333","8623000","8616000","8942000","9242000",
"전체","관리자","45~49세","월급여액","원","4513546","4664005","4966041","5099749","5774143","6482705","6836338","7014000","7184000","7426000","7936000",
"전체","관리자","45~49세","정액급여","원","4438986","4593630","4875974","5014597","5655709","6349826","6668386","6847000","6980000","7207000","7769000",
"전체","관리자","45~49세","초과급여","원","74560","70375","90067","85152","118434","132879","167952","167000","204000","219000","167000",
"전체","관리자","45~49세","연간특별급여액","원","10743571","10596879","13003237","14381925","13441551","15687498","16169923","19308000","17185000","18194000","15673000",
"전체","관리자","45~49세","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","50~54세","월임금총액","원","5941661.91667","5842423.91667","6306341.5","6781762.5","7158772.75","8212550.91667","8888084.83333","8979000","9110000","9569000","10399000",
"전체","관리자","50~54세","월급여액","원","4935121","4791993","5122137","5573460","5981710","6921156","7406027","7550000","7656000","7989000","8924000",
"전체","관리자","50~54세","정액급여","원","4881655","4726893","5064527","5519256","5890025","6794679","7291306","7404000","7464000","7825000","8759000",
"전체","관리자","50~54세","초과급여","원","53466","65101","57610","54204","91685","126477","114721","146000","191000","164000","165000",
"전체","관리자","50~54세","연간특별급여액","원","12078491","12605171","14210454","14499630","14124753","15496739","17784694","17151000","17445000","18961000","17700000",
"전체","관리자","50~54세","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","55~59세","월임금총액","원","6024024.41667","5948574","6445369.16667","6630690.5","7291691.41667","8016829.5","8922008.08333","9396000","9299000","9693000","10670000",
"전체","관리자","55~59세","월급여액","원","5207267","5032870","5277530","5512827","6328286","6972963","7744693","8130000","8120000","8456000","9352000",
"전체","관리자","55~59세","정액급여","원","5158872","4982137","5226510","5449837","6237076","6877781","7623708","8034000","8004000","8308000","9244000",
"전체","관리자","55~59세","초과급여","원","48395","50733","51020","62990","91210","95182","120985","96000","116000","148000","108000",
"전체","관리자","55~59세","연간특별급여액","원","9801089","10988448","14014070","13414362","11560865","12526398","14127781","15189000","14146000","14845000","15810000",
"전체","관리자","55~59세","임금격차","%","-","-","-","-","","","","","","","",
"전체","관리자","60세이상","월임금총액","원","5677707.91667","5501257.41667","6230885.25","6706925.66667","7484842.25","8022135.16667","9051387.66667","9977000","9236000","9220000","10719000",
"전체","관리자","60세이상","월급여액","원","4938250","4795427","5205602","5869944","6734901","7215087","8043940","8806000","8237000","8322000","9712000",
"전체","관리자","60세이상","정액급여","원","4915643","4773339","5180350","5811193","6680846","7134441","7944010","8694000","8149000","8235000","9617000",
"전체","관리자","60세이상","초과급여","원","22607","22088","25252","58751","54055","80646","99930","112000","88000","87000","95000",
"전체","관리자","60세이상","연간특별급여액","원","8873495","8469965","12303399","10043780","8999295","9684578","12089372","14049000","11993000","10770000","12083000",
"전체","관리자","60세이상","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","계","월임금총액","원","3180253.58333","3281188.75","3400944.16667","3492397.25","3574673.83333","3659192.66667","3778540.66667","3878000","3963000","4090000","4221000",
"전체","전문가 및 관련 종사자","계","월급여액","원","2696829","2810645","2925758","3053503","3103261","3146926","3267285","3334000","3465000","3558000","3685000",
"전체","전문가 및 관련 종사자","계","정액급여","원","2612918","2717646","2826462","2947802","2989397","3028543","3131673","3208000","3323000","3410000","3530000",
"전체","전문가 및 관련 종사자","계","초과급여","원","83911","92998","99296","105701","113864","118384","135612","126000","142000","148000","155000",
"전체","전문가 및 관련 종사자","계","연간특별급여액","원","5801095","5646525","5702234","5266731","5656954","6147200","6135068","6528000","5981000","6385000","6435000",
"전체","전문가 및 관련 종사자","계","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","19세이하","월임금총액","원","1286081.25","1024913.08333","1429861.33333","1272388.41667","1399160.16667","1711841.41667","2105633.41667","1616000","1862000","1963000","1717000",
"전체","전문가 및 관련 종사자","19세이하","월급여액","원","1232183","965867","1390938","1261482","1356362","1568740","1750570","1592000","1753000","1876000","1666000",
"전체","전문가 및 관련 종사자","19세이하","정액급여","원","1171069","926381","1348989","1227889","1299115","1483311","1657854","1511000","1669000","1753000","1620000",
"전체","전문가 및 관련 종사자","19세이하","초과급여","원","61114","39486","41949","33593","57247","85429","92716","81000","84000","123000","46000",
"전체","전문가 및 관련 종사자","19세이하","연간특별급여액","원","646779","708553","467080","130877","513578","1717217","4260761","298000","1316000","1039000","612000",
"전체","전문가 및 관련 종사자","19세이하","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","20~24세","월임금총액","원","1588436.66667","1630530.91667","1745236.25","1800286","1858089.25","1847754.58333","1911936.75","1965000","2082000","2170000","2365000",
"전체","전문가 및 관련 종사자","20~24세","월급여액","원","1484819","1539187","1638312","1708273","1752423","1753571","1831055","1885000","1976000","2085000","2256000",
