시도명,시군구명,새일센터명,원소속기관명,전화번호,우편번호,주소
강원,강릉시,강릉새일센터,강릉여성인력개발센터,033-643-1148,25492,"강원도 강릉시 강릉대로 317, 한국빌딩 3층 (포남동)"
강원,동해시,동해새일센터,동해YWCA,033-533-6077,25740,강원도 동해시 발한로 182 (발한동) 
강원,삼척시,삼척새일센터,삼척시 평생학습관,033-570-4081,25924,강원도 삼척시 청석로 3길 16-41 
강원,속초시,속초새일센터,속초시 평생교육문화센터,033-639-2742,24855,강원도 속초시 수복로 46번 속초시 평생교육문화센터 (교동 979)
강원,양양군,양양새일센터(농어촌형),양양군 건강가족과(여성회관),033-670-2357,25032,강원도 양양군 양양읍 안산1길 36 
강원,영월군,영월새일센터(농어촌형),영월군 여성가족과 여성정책팀 영월여성새로일하기센터,033-370-2125,26232,"강원도 영월군 영월읍 단종로 8, 영월고용복지센터"
강원,원주시,원주새일센터,원주여성새로일하기센터,033-748-3131,26448,강원도 원주시 서원대로 서원대로383 2층 고용복지플러스센터
강원,정선군,정선새일센터(농어촌형),정선군 여성회관,033-560-2319,26125,강원도 정선군 정선읍 애산로 25  지번 : 애산리 605-13
강원,춘천시,강원광역새일센터,강원광역여성새로일하기센터,033-256-9226,24272,강원도 춘천시 금강로 45 (요선동) 기업은행빌딩 4층
강원,춘천시,춘천새일센터,춘천여성인력개발센터,033-243-6474,24417,"강원도 춘천시 외솔길 25,  (석사동 111-6) "
경기,고양시,고양MICE새일센터(경력개발형),고양여성인력개발센터,031-912-8668,10381,경기도 고양시 일산서구 강성로 247-0 명진프라자빌딩 8-9층
경기,고양시,고양새일센터,고양여성인력개발센터,031-912-8555,10497,경기도 고양시 덕양구 화정로 53-1 (화정동) 글로리아프라자 610호
경기,광명시,광명새일센터,광명시여성비전센터,02-2680-6772,14327,경기도 광명시 오리로366번길 6-0 광명시여성비전센터
경기,구리시,구리새일센터,구리시청,031-550-8331,11921,경기도 구리시 건원대로 44-0 태영빌딩 2층(구리고용복지센터내)
경기,군포시,군포새일센터,군포시,031-390-0518,15829,"경기도 군포시 청백리길6 , 시청별관 1층"
경기,김포시,김포새일센터,김포고용복지플러스센터,031-996-7606,10091,경기도 김포시 김포한강4로 125 (장기동) 4층
경기,남양주시,남양주새일센터,남양주 YWCA,031-577-0886,12271,경기도 남양주시 경춘로 953 금마루프라자 3층 
경기,부천시,부천새일센터,부천여성인력개발센터,032-326-3004,14546,"경기도 부천시 석천로 171, 중동프라자 5층 "
경기,성남시,성남새일센터,성남여성인력개발센터,031-718-6696,13646,경기도 성남시 수정구 위례광장로 21-9 (창곡동) KCC웰츠타워 3층
경기,성남시,한국폴리텍대학 성남캠퍼스,한국폴리텍대학 성남캠퍼스,031-739-4010,13122,경기도 성남시 수정구 수정로 398 
경기,수원시,영통새일센터,수원여성인력개발센터,031-206-1919,16704,"경기도 수원시 영통구 반달로7번길 40 (영통동) 10층 (영통동, 평익빌딩)"
경기,수원시,팔달새일센터,수원시,031-228-3951,16466,경기도 수원시 팔달구 매산로 119(교동 74-1) 팔달새일센터
경기,시흥시,시흥새일센터,시흥여성인력개발센터,031-313-8219,14915,"경기도 시흥시 비둘기공원7길 51, 대명프라자 7층 (대야동) "
경기,시흥시,시흥새일센터(산단형),시흥 여성새로일하기지원본부,031-310-6021,15116,경기도 시흥시 정왕대로 233번길 21 여성비전센터 1층 
경기,안산시,안산새일센터,안산여성인력개발센터,031-439-2069,15353,"경기도 안산시 단원구 광덕대로 271,  3층 (고잔동) "
경기,안산시,안산새일센터(자립지원형),안산여성인력개발센터,031-439-2069,42502,경기도 안산시 단원구 광덕대로 271 3층 
경기,안양시,사)한국정보과학진흥협회,사)한국정보과학진흥협회,031-385-9844,13951,경기도 안양시 동안구 흥안대로 533 1031호(관양동 골드빌딩) (관양동)
경기,안양시,안양새일센터,안양여성인력개발센터,031-453-4360,14112,"경기도 안양시 동안구 경수대로 594,  (호계동 985-19) "
경기,안양시,안양창조산업새일센터(경력개발형),(재)안양창조산업진흥원,031-8045-6760,14055,경기도 안양시 동안구 시민대로327번길 11-14 (관양동) 2층 209호
경기,양주시,양주새일센터,양주시,031-849-2350,11498,경기도 양주시 부흥로 1533 (남방동) (양주고용복지플러스센터 내)
경기,오산시,오산새일센터,오산시,031-8024-9861,18131,경기도 오산시 경기동로 51 3층
경기,용인시,경기IT새일센터(경력개발형),경기도일자리재단 여성능력개발본부(용인),031-270-9772,16922,경기도 용인시 기흥구 용구대로 2311(마북동 431)  
경기,용인시,경기광역새일센터,경기도일자리재단 여성능력개발본부(용인),031-270-9800,16922,경기도 용인시 기흥구 용구대로 2311 경기도여성능력개발센터
경기,용인시,경기새일센터(경력개발형),경기여성능력개발센터,031-8008-8135,16922,경기도 용인시 기흥구 용구대로 2311(마북동 431)  
경기,용인시,용인대스포츠새일센터(경력개발형),용인대학교,031-8020-3661,17092,경기도 용인시 처인구 용인대학로 134 종합체육관  2층 새일센터 13208호
경기,용인시,용인새일센터,용인여성새로일하기센터,031-324-2271,16841,경기도 용인시 수지구 문정로7번길 15-0 (용인시 평생학습관 1층)
경기,의왕시,의왕새일센터,의왕시,031-345-2681,16004,경기도 의왕시 안양판교로 89 의왕고용복지플러스센터 1층 의왕여성새로일하기센터
경기,의정부시,경기북부광역새일센터,경기도일자리재단 여성능력개발본부(북부),031-270-9900,11650,경기도 의정부시 범골로 137 (의정부 2동 510)
경기,의정부시,경기북부새일센터,경기도일자리재단 여성능력개발본부(북부),031-270-9900,11650,경기도 의정부시 범골로 137 (의정부 2동 510)
경기,의정부시,의정부YWCA새일센터,의정부YWCA,031-853-7223,11775,경기도 의정부시 장곡로 606 (의정부시 신곡동 762-2)
경기,이천시,이천새일센터,이천시 여성회관,031-632-1982,17375,경기도 이천시 남천로 31 이천시 종합복지타운  3층 여성회관
경기,파주시,파주새일센터,서영대학교 산학협력단,031-942-0281,10930,경기도 파주시 중앙로 328-0 MH타워 8층 파주고용복지플러스센터
경기,평택시,평택새일센터,평택시 평생학습센터,031-8024-7415,17732,경기도 평택시 이충로 84-6 평생학습센터 2층
경기,포천시,포천새일센터,(사)가족보건복지협회,031-541-7943,11150,경기도 포천시 중앙로 34번길 8 포천시근로자종합복지관 1층 
경기,하남시,하남새일센터,하남시,031-790-6916,12919,경기도 하남시 미사강변대로 52 하남고용복지플러스센터 2층
경기,화성시,화성새일센터,화성시여성가족청소년재단,031-267-8714,18372,경기도 화성시 태안로 145 (병점동) 유앤아이센터 4층
경남,거제시,거제새일센터,거제시 여성인력개발센터,055-634-2064,53257,"경상남도 거제시 계룡로13길 6,  (고현동) "
경남,김해시,김해새일센터,김해여성인력개발센터,055-331-4338,50903,경상남도 김해시 해반천로 168번길 10-16 
경남,김해시,김해시동부새일센터,김해시 여성센터,055-329-2145,50814,경상남도 김해시 신어산길 46 김해시 여성센터
경남,양산시,양산새일센터,양산 YWCA,055-362-9192,50643,경상남도 양산시 삼일로 67 네오프라자 7층 네오프라자 7층
