"행정구역별","연령·교육정도별","구분별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","전체","경력단절여성 전체","인원","명","1925577.662","2011400.529","1980010.548","2163760.365","2073335.599","1924305.633","1831345.658","1846491.671","1698560.239","1505539.794","1448056.941",
"전국","전체","경력단절여성 전체","비율","%","100","100","100","100","100","100","100","100","100","100","100",
"전국","전체","결혼준비","인원","명","906860.102","944589.043","910486.187","833832.265","766619.456","667809.911","633115.811","634299.786","522280.658","414255.862","396292.39",
"전국","전체","결혼준비","비율","%","47.09548","46.96176","45.98391","38.53626","36.97517","34.70394","34.57107","34.35162","30.74843","27.51544","27.4",
"전국","전체","임신, 출산","인원","명","384750.44","485588.472","417702.537","440246.983","504561.614","504832.71","453537.495","444461.437","384197.717","321101.004","320260.045",
"전국","전체","임신, 출산","비율","%","19.98104","24.14181","21.09598","20.34638","24.33574","26.23454","24.76526","24.07059","22.61902","21.32797","22.1",
"전국","전체","자녀교육(초등학생)","인원","명","82499.141","80795.76","73592.313","94128.281","81503.373","80558.052","76583.495","70792.853","68885.361","61987.333","55350.529",
"전국","전체","자녀교육(초등학생)","비율","%","4.28438","4.01689","3.71676","4.35022","3.93103","4.18634","4.18182","3.83391","4.05551","4.11728","3.8",
"전국","전체","가족돌봄","인원","명","","","","163929.427","102683.575","92800.164","82041.445","78282.162","74623.641","68671.868","49852.729",
"전국","전체","가족돌봄","비율","%","","","","7.57614","4.95258","4.82253","4.47984","4.23951","4.39335","4.56128","3.4",
"전국","전체","육아","인원","명","551467.979","500427.254","578229.511","631623.409","617967.581","578304.796","586067.412","618655.433","648572.862","639523.727","626301.248",
"전국","전체","육아","비율","%","28.63909","24.87954","29.20336","29.19101","29.80548","30.05265","32.00201","33.50437","38.18368","42.47804","43.3",
"전국","15-19세","경력단절여성 전체","인원","명","526.435","107.614","480.222","630.005","184.219","591.654","616.239","231.873","181.275","53.269","35.959",
"전국","15-19세","경력단절여성 전체","비율","%",".02734",".00535",".02425","100","100","100","100","100","100","100","100",
"전국","15-19세","결혼준비","인원","명","236.381","35.853","18.846","446.591","44.941","0","203.762","161.43","0","53.269","0",
"전국","15-19세","결혼준비","비율","%",".01228",".00178",".00095","70.8869","24.39542","0","33.06542","69.62001","0","100","0",
"전국","15-19세","임신, 출산","인원","명","218.876","71.761","45.974","171.806","0","0","217.085","70.443","143.11","0","35.959",
"전국","15-19세","임신, 출산","비율","%",".01137",".00357",".00232","27.27058","0","0","35.2274","30.37999","78.94635","0","100",
"전국","15-19세","자녀교육(초등학생)","인원","명","0","0","0","0","0","0","0","0","0","0","0",
"전국","15-19세","자녀교육(초등학생)","비율","%","0","0","0","0","0","0","0","0","0","0","0",
"전국","15-19세","가족돌봄","인원","명","","","","0","0","0","0","0","0","0","0",
"전국","15-19세","가족돌봄","비율","%","","","","0","0","0","0","0","0","0","0",
"전국","15-19세","육아","인원","명","71.178","0","415.402","11.608","139.278","591.654","195.392","0","38.165","0","0",
"전국","15-19세","육아","비율","%",".0037","0",".02098","1.84253","75.60458","100","31.70718","0","21.05365","0","0",
"전국","20-24세","경력단절여성 전체","인원","명","26407.468","24210.91","25410.736","23162.301","18241.085","21233.669","20500.624","19082.462","16545.721","10599.447","6464.64",
"전국","20-24세","경력단절여성 전체","비율","%","1.3714","1.20368","1.28336","100","100","100","100","100","100","100","100",
"전국","20-24세","결혼준비","인원","명","12794.941","13527.802","10528.171","8518.555","6455.94","7377.988","8250.364","5101.724","5260.129","3318.156","1858.621",
"전국","20-24세","결혼준비","비율","%",".66447",".67256",".53172","36.77767","35.3923","34.74665","40.24445","26.73515","31.79148","31.30499","28.8",
"전국","20-24세","임신, 출산","인원","명","5794.989","5761.486","8126.163","8815.067","6902.406","9157.225","7672.125","8379.562","6258.571","3812.786","2528.056",
"전국","20-24세","임신, 출산","비율","%",".30095",".28644",".41041","38.05782","37.83989","43.12597","37.42386","43.91237","37.82592","35.97156","39.1",
