"성별","산업별","직업별","항목","단위","2013. 1/2","2013. 2/2","2014. 1/2","2014. 2/2","2015. 1/2","2015. 2/2","2016. 1/2","2016. 2/2","2017. 1/2","2017. 2/2","2018. 1/2","2018. 2/2","2019. 1/2","2019. 2/2","2020. 1/2","2020. 2/2","2021. 1/2",
"계","계","계","취업자 (천명)","","25322.2","25798.1","25985.1","26246.6","26153.3","26518.8","26324.7","26745.6","26744.3","27026.3","26867.6","27090.1","27038.4","27509","26562.2","27088.4","27213.6",
"계","계","1. 관리자","취업자 (천명)","","411.5","406.8","393","396.8","351.5","358.9","337.8","326","306.9","323","350.4","389","417.9","397.9","393.6","406","388.9",
"계","계","2. 전문가 및 관련 종사자","취업자 (천명)","","4892.3","5045.6","5132.9","5153.8","5133.3","5274.9","5218","5359.6","5447","5452.2","5468.4","5504.1","5526.9","5610.6","5412.6","5435.8","5527.2",
"계","계","3. 사무 종사자","취업자 (천명)","","4239","4347.7","4391.3","4366.3","4406.8","4459.8","4530.5","4577.3","4619.2","4687","4734","4804.4","4713.2","4777.8","4688","4665.4","4749.5",
"계","계","4. 서비스 종사자","취업자 (천명)","","2633.5","2673.5","2761","2833.1","2774.3","2811.8","2812.8","2948","2920.2","2976.5","2978.6","2953.6","3090.5","3144.3","2980.6","3003","3054.6",
"계","계","5. 판매 종사자","취업자 (천명)","","3002.4","3063.1","3127.7","3178","3092.6","3103.5","3090","3109.5","3091","3074.3","3009.4","3035.1","3035.3","3019.7","2903.7","2818.3","2784.2",
"계","계","6. 농림어업 숙련? 종사자","취업자 (천명)","","1491.1","1620.2","1456.8","1506.4","1324.6","1362","1256.7","1323.3","1249.7","1338.1","1309.2","1410.1","1345.1","1484.1","1428.3","1496.4","1423.2",
"계","계","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","2264.9","2316.8","2288","2347.5","2365.4","2427.3","2402.2","2393.2","2391.9","2361.9","2330.9","2391.7","2376.1","2386.6","2285.2","2385.7","2372.8",
"계","계","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","3087.8","3025.2","3114.5","3115.7","3191.7","3230.2","3223.4","3187.3","3175.4","3159","3162.4","3041.2","3011.8","3019.8","2976.3","2912.3","2943.5",
"계","계","9. 단순노무 종사자","취업자 (천명)","","3299.7","3299.2","3320","3349.1","3513.1","3490.3","3453.5","3521.4","3543","3654.3","3524.3","3560.8","3521.6","3668.3","3493.8","3965.4","3969.8",
"계","A. 농업, 임업 및 어업","계","취업자 (천명)","","1585.6","1742.6","1556.1","1602.3","1421.8","1473.1","1355.4","1420","1339.5","1435.3","1393.6","1492.5","1406.3","1551.3","1479.3","1574","1476.3",
"계","A. 농업, 임업 및 어업","1. 관리자","취업자 (천명)","",".4",".7",".7",".7",".1",".2",".1",".1",".2",".1",".2",".3","0",".5",".5",".8",".1",
"계","A. 농업, 임업 및 어업","1. 관리자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","A. 농업, 임업 및 어업","2. 전문가 및 관련 종사자","취업자 (천명)","","4.5","4.4","4.4","5.2","3.5","4","4.7","4.1","4.3","3.8","4.4","4.3","2.9","5.2","2.8","4.2","2.7",
