구분,기업명,분류,시도
1,건강보험심사평가원,공공기관,강원
2,교보생명보험㈜,대기업,서울
3,국민건강보험공단,공공기관,강원
4,국민연금공단,공공기관,전북
5,한국농수산식품유통공사,공공기관,전남
6,(주)대웅제약,대기업,서울
7,유한킴벌리,대기업,서울
8,인천국제공항공사,공공기관,인천
9,제주국제자유도시개발센터,공공기관,제주
10,롯데쇼핑㈜,대기업,서울
11,매일유업(주),대기업,서울
12,아시아나항공㈜,대기업,서울
13,에스케이하이닉스 주식회사,대기업,경기
14,㈜한미글로벌건축사사무소,대기업,서울
15,경은산업(주),중소기업,부산
16,㈜삼광,대기업,경북
17,주식회사 동화세상에듀코,중소기업,서울
18,기술신용보증기금,공공기관,부산
19,한국남부발전주식회사,공공기관,부산
20,한국수자원공사,공공기관,대전
21,한국정보화진흥원,공공기관,대구
22,한국중부발전㈜,공공기관,충남
23,(주)LG 유플러스,대기업,서울
24,한국애보트(주),대기업,서울
25,주식회사 케이티,대기업,경기
26,경남에너지(주),대기업,경남
27,(주)대건테크,중소기업,경남
28,(주)솜피,대기업,경기
29,신화철강㈜,중소기업,경남
30,해피브릿지 협동조합,중소기업,서울
31,서울특별시 강남구청,공공기관,서울
32,국립공원관리공단,공공기관,서울
33,서울특별시 성동구청,공공기관,서울
34,서울특별시 송파구청,공공기관,서울
35,신용보증기금,공공기관,대구
36,예금보험공사,공공기관,서울
37,한국농어촌공사,공공기관,전남
38,한국동서발전㈜,공공기관,울산
39,한국보건복지인력개발원,공공기관,충북
40,한국철도공사,공공기관,대전
41,㈜경동도시가스,대기업,울산
42,㈜엔에스쇼핑,대기업,경기
43,동아오츠카주식회사,대기업,경기
44,롯데쇼핑㈜롯데시네마,대기업,서울
45,메리츠화재해상보험 주식회사,대기업,서울
46,㈜바텍,대기업,경기
47,삼성화재해상보험㈜,대기업,서울
48,㈜세아에삽,대기업,경남
49,㈜세아제강,대기업,서울
50,㈜엔투비,대기업,서울
51,존슨콘트롤즈오토모티브코리아㈜(애디언트코리아),대기업,경기
52,주식회사 포스코,대기업,경북
53,지에스네오텍㈜,대기업,서울
54,코오롱인더스트리㈜,대기업,경기
55,푸르덴셜생명보험㈜,대기업,서울
56,한국릴리 유한회사,대기업,서울
57,한국아이비엠㈜,대기업,서울
58,주식회사 한독,대기업,서울
59,㈜한솔홈데코,대기업,서울
60,주식회사 골프존유원홀딩스,대기업,서울
61,㈜네이처텍,중소기업,충북
62,(주)디알 액시온,중소기업,부산
63,㈜동화엔텍,대기업,부산
64,메리케이코리아 유한회사,중소기업,서울
65,㈜바이저,중소기업,경남
66,비아이피주식회사,중소기업,부산
67,주식회사 비투엔,중소기업,서울
68,㈜에스엠컬쳐앤콘텐츠,중소기업,서울
