"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역별(1)","특성별(1)",특성별(2),여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다
"전국","전체",계,40.7,13.1,32.1,6.3,8.5,70.3,,43.4,0.1,7.4,39.1,13.1,31.1,6.1,6.7,67.8,,42.4,0.2,8.0,38.9,13.5,28.9,5.5,5.6,67.6,,41.3,0.1,8.3,41.6,14.2,33.5,6.6,4.7,71.0,,41.5,0.2,6.2,50.3,15.4,41.2,7.4,6.3,73.7,17.0,40.7,0.1,6.1,43.0,,47.0,,11.8,77.0,21.0,49.3,0.5,7.8,39.5,,45.7,,13.4,75.1,23.1,47.5,0.7,9.2
"전국","동·읍면부",동부,42.1,13.9,33.7,6.4,8.5,70.6,,43.2,0.1,6.4,40.4,13.8,32.4,6.3,6.9,68.2,,42.7,0.1,7.4,39.8,14.2,29.9,5.7,5.8,67.6,,41.7,0.1,8.1,42.6,15.0,34.3,6.8,4.8,70.9,,41.5,0.2,6.0,51.6,16.0,42.5,7.7,6.5,74.0,17.0,40.2,0.1,5.6,44.1,,48.4,,11.9,77.7,20.7,49.4,0.5,7.4,39.7,,46.9,,13.7,75.4,23.0,47.5,0.7,8.8
"전국","동·읍면부",읍면부,34.0,9.4,25.0,5.6,8.6,68.7,,44.6,0.2,11.4,33.2,9.6,25.3,5.1,6.1,66.0,,40.7,0.4,10.8,34.4,9.9,24.4,4.7,4.7,67.5,,39.1,0.0,9.4,37.0,10.3,29.5,5.6,4.1,71.4,,42.0,0.1,7.4,44.3,12.8,34.9,6.3,5.2,72.4,17.0,43.0,0.1,8.6,38.0,,40.7,,11.7,74.0,22.2,49.0,0.5,9.8,38.6,,39.9,,11.9,73.5,23.8,47.4,0.4,10.6
"전국","성별",남자,41.5,16.1,30.5,7.5,7.4,68.2,,40.1,0.1,8.6,39.3,15.9,29.4,7.2,5.5,65.4,,38.2,0.1,9.6,39.2,16.8,27.1,6.7,4.6,64.8,,37.5,0.1,10.1,41.7,17.6,31.4,8.1,3.6,68.1,,37.9,0.2,7.7,50.0,19.0,38.6,9.2,5.4,71.8,16.3,38.0,0.1,7.4,42.6,,43.4,,10.9,75.0,20.5,46.9,0.8,10.4,37.9,,41.9,,12.7,72.7,23.4,44.3,1.1,12.2
"전국","성별",여자,39.9,10.2,33.7,5.2,9.6,72.3,,46.6,0.1,6.2,38.9,10.3,32.8,5.1,7.9,70.2,,46.4,0.2,6.5,38.6,10.2,30.7,4.3,6.7,70.4,,44.9,0.1,6.6,41.5,10.9,35.5,5.2,5.8,73.8,,45.1,0.1,4.8,50.6,11.9,43.6,5.7,7.1,75.7,17.8,43.4,0.1,4.8,43.4,,50.5,,12.8,79.0,21.4,51.6,0.3,5.3,41.1,,49.4,,14.0,77.4,22.9,50.7,0.3,6.1
"전국","연령",13∼19세,-,-,-,-,-,-,-,-,-,-,56.2,14.5,37.7,9.1,4.3,58.0,,34.5,0.1,13.3,54.1,16.4,35.6,8.9,4.2,58.7,,33.6,0.1,11.9,55.1,16.7,39.8,9.8,3.9,65.5,,32.5,0.1,8.7,63.6,15.5,47.1,9.0,5.5,68.2,15.7,30.5,0.0,8.4,56.5,,51.7,,10.8,71.6,18.4,36.7,0.4,11.1,50.9,,46.0,,11.8,66.9,20.8,38.7,0.8,14.1
"전국","연령",15∼19세,55.2,12.3,40.8,6.6,6.3,59.0,,36.1,0.2,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,-,-,-,-,-,-
"전국","연령",20∼29세,51.4,15.6,41.4,6.7,8.2,69.4,,37.5,0.1,5.9,49.6,16.6,39.5,7.2,7.3,65.9,,38.6,0.2,5.5,48.3,17.3,36.8,6.4,5.1,67.1,,37.4,0.2,6.3,52.5,19.3,39.0,8.6,5.0,68.9,,34.8,0.4,5.1,62.4,20.4,46.5,10.8,5.8,72.5,13.2,34.1,0.2,4.4,52.3,,51.2,,12.1,75.8,16.8,41.2,1.2,8.5,44.9,,46.9,,13.0,71.0,19.8,41.8,1.8,12.3
