"성별","행정구역별",2010 4/4,2010 4/4,2010 4/4,2010 4/4,2010 4/4,2010 4/4,2010 4/4,2010 4/4,2011 1/4,2011 1/4,2011 1/4,2011 1/4,2011 1/4,2011 1/4,2011 1/4,2011 1/4,2011 2/4,2011 2/4,2011 2/4,2011 2/4,2011 2/4,2011 2/4,2011 2/4,2011 2/4,2011 3/4,2011 3/4,2011 3/4,2011 3/4,2011 3/4,2011 3/4,2011 3/4,2011 3/4,2011 4/4,2011 4/4,2011 4/4,2011 4/4,2011 4/4,2011 4/4,2011 4/4,2011 4/4,2012 1/4,2012 1/4,2012 1/4,2012 1/4,2012 1/4,2012 1/4,2012 1/4,2012 1/4,2012 2/4,2012 2/4,2012 2/4,2012 2/4,2012 2/4,2012 2/4,2012 2/4,2012 2/4,2012 3/4,2012 3/4,2012 3/4,2012 3/4,2012 3/4,2012 3/4,2012 3/4,2012 3/4,2012 4/4,2012 4/4,2012 4/4,2012 4/4,2012 4/4,2012 4/4,2012 4/4,2012 4/4
"성별","행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),실업률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),실업률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),실업률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),실업률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),실업률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),실업률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),실업률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),실업률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),고용률 (%),실업률 (%)
"전체","전국",41090,24790,23931,859,16300,60.3,58.2,3.5,41235,25193,24114,1079,16042,61.1,58.5,4.3,41376,25901,25053,848,15475,62.6,60.5,3.3,41487,25372,24604,768,16115,61.2,59.3,3.0,41636,25181,24421,761,16455,60.5,58.7,3.0,41735,25519,24566,953,16216,61.1,58.9,3.7,41841,26241,25412,830,15599,62.7,60.7,3.2,41937,26014,25257,757,15923,62.0,60.2,2.9,42072,25378,24637,741,16694,60.3,58.6,2.9
"전체","서울특별시",8555,5347,5119,228,3208,62.5,59.8,4.3,8571,5399,5107,292,3172,63.0,59.6,5.4,8577,5470,5229,242,3107,63.8,61.0,4.4,8579,5359,5122,237,3220,62.5,59.7,4.4,8587,5359,5130,229,3228,62.4,59.7,4.3,8586,5387,5128,258,3200,62.7,59.7,4.8,8587,5448,5217,231,3139,63.4,60.8,4.2,8585,5360,5145,215,3225,62.4,59.9,4.0,8590,5276,5096,180,3314,61.4,59.3,3.4
"전체","부산광역시",2951,1644,1587,57,1308,55.7,53.8,3.4,2961,1655,1584,71,1306,55.9,53.5,4.3,2965,1693,1631,62,1272,57.1,55.0,3.6,2966,1655,1604,51,1310,55.8,54.1,3.1,2969,1711,1645,66,1258,57.6,55.4,3.8,2968,1722,1653,69,1246,58.0,55.7,4.0,2968,1747,1683,64,1221,58.9,56.7,3.7,2969,1724,1662,62,1245,58.1,56.0,3.6,2972,1735,1665,70,1238,58.4,56.0,4.0
"전체","대구광역시",2049,1212,1162,49,837,59.1,56.7,4.1,2055,1204,1153,51,851,58.6,56.1,4.2,2059,1218,1173,45,841,59.2,57.0,3.7,2061,1205,1166,39,856,58.5,56.6,3.2,2066,1233,1192,41,833,59.7,57.7,3.3,2068,1237,1187,50,831,59.8,57.4,4.1,2070,1263,1225,38,807,61.0,59.2,3.0,2072,1246,1211,36,825,60.2,58.4,2.8,2075,1246,1209,37,829,60.0,58.3,3.0
"전체","인천광역시",2252,1420,1340,80,833,63.0,59.5,5.6,2263,1424,1335,89,839,62.9,59.0,6.3,2273,1472,1404,68,801,64.8,61.8,4.6,2284,1447,1387,60,837,63.3,60.7,4.1,2297,1473,1416,58,824,64.1,61.6,3.9,2308,1487,1415,72,821,64.4,61.3,4.8,2319,1519,1450,69,800,65.5,62.5,4.5,2329,1496,1436,60,833,64.2,61.7,4.0,2341,1492,1424,69,848,63.8,60.8,4.6
"전체","광주광역시",1204,699,676,23,505,58.1,56.2,3.3,1209,696,667,29,514,57.5,55.1,4.1,1213,729,705,24,484,60.1,58.1,3.3,1216,714,700,14,502,58.7,57.5,2.0,1220,704,689,16,515,57.7,56.5,2.2,1222,713,680,32,509,58.3,55.7,4.5,1225,714,694,21,510,58.3,56.6,2.9,1227,710,696,14,516,57.9,56.8,2.0,1230,706,694,13,524,57.4,56.4,1.8
"전체","대전광역시",1238,722,695,26,517,58.3,56.2,3.6,1242,740,704,36,502,59.6,56.7,4.8,1246,747,726,21,499,59.9,58.2,2.8,1250,727,708,19,523,58.2,56.7,2.6,1256,729,702,27,527,58.0,55.9,3.7,1260,745,713,33,514,59.2,56.6,4.4,1264,760,733,27,504,60.2,58.0,3.6,1266,755,734,22,511,59.6,57.9,2.8,1270,748,725,22,523,58.9,57.1,3.0
"전체","울산광역시",894,552,536,17,341,61.8,60.0,3.0,897,548,525,23,349,61.1,58.6,4.1,902,559,544,14,343,61.9,60.4,2.6,906,552,540,11,354,60.9,59.6,2.1,911,554,544,10,357,60.9,59.7,1.9,915,564,544,19,351,61.6,59.5,3.4,919,567,551,16,352,61.7,59.9,2.9,923,567,554,14,356,61.5,60.0,2.4,928,555,542,12,374,59.7,58.4,2.2
"전체","경기도",9495,5753,5556,197,3742,60.6,58.5,3.4,9539,5880,5620,260,3659,61.6,58.9,4.4,9598,5963,5767,195,3635,62.1,60.1,3.3,9645,5888,5708,180,3757,61.0,59.2,3.1,9699,5900,5724,176,3799,60.8,59.0,3.0,9742,5958,5736,222,3784,61.2,58.9,3.7,9787,6143,5946,198,3643,62.8,60.8,3.2,9831,6135,5943,192,3696,62.4,60.5,3.1,9885,6009,5812,196,3877,60.8,58.8,3.3
