"성별(1)","직업별(1)",2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"성별(1)","직업별(1)",임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자
"전체","계",18614,12654,5960,3426,1921,170,637,561,79,799,18992,12869,6123,3529,2035,195,608,533,58,815,18989,12935,6054,3437,2094,192,662,509,47,841,19474,13166,6308,3655,2236,211,660,502,55,886,19359,13168,6191,3589,2226,217,700,508,44,766,19743,13262,6481,3671,2488,201,702,502,42,874,20006,13428,6578,3725,2663,188,694,497,30,801,20045,13431,6614,3823,2709,189,596,506,53,801,20559,13078,7481,4785,3156,182,615,528,46,748,20446,13020,7426,4608,3252,164,552,498,49,896,20992,12927,8066,5171,3512,211,585,560,79,955
"전체","관리자",322,284,38,32,4,1,1,1,-,-,344,303,41,38,2,-,1,1,-,-,308,264,44,42,2,0,2,-,-,-,302,257,45,42,5,0,1,-,-,-,296,252,43,41,3,0,3,-,-,-,289,242,47,44,3,-,0,1,-,-,285,248,37,31,7,-,1,2,-,-,345,312,33,30,3,0,3,0,-,-,364,318,46,39,8,1,2,1,-,-,355,302,54,45,7,1,5,0,-,-,337,274,63,55,5,3,6,4,-,-
"전체","전문가 및 관련 종사자",4118,3136,983,720,333,24,11,75,6,5,4177,3171,1006,755,340,19,13,67,3,1,4124,3145,980,720,357,27,9,75,5,3,4264,3235,1030,774,351,29,9,81,9,3,4216,3228,989,734,352,22,12,90,6,1,4340,3317,1023,757,380,24,13,78,3,3,4433,3385,1049,756,398,28,10,75,2,4,4536,3492,1044,775,400,12,6,75,8,4,4586,3424,1162,887,473,18,8,85,6,1,4578,3502,1076,840,401,11,14,64,5,4,4781,3529,1252,988,483,20,10,84,16,2
"전체","사무 종사자",4082,3378,704,595,143,16,42,18,7,3,4094,3397,698,565,171,19,31,13,2,7,4137,3447,690,550,178,24,41,15,3,5,4147,3494,653,534,166,19,36,14,5,3,4227,3585,643,507,180,20,30,13,4,4,4241,3560,681,521,216,18,41,15,6,1,4388,3677,711,541,221,16,36,15,8,2,4432,3703,729,550,234,17,36,14,11,-,4509,3654,855,670,278,19,22,14,5,9,4418,3630,788,589,295,21,23,12,9,3,4508,3643,865,677,296,25,17,16,6,12
"전체","서비스 종사자",1772,1065,707,347,391,22,34,11,6,59,1857,1102,754,361,431,32,38,13,0,67,1851,1106,744,385,435,23,39,11,2,59,1897,1107,790,396,486,18,41,16,4,64,1850,1074,776,360,514,22,54,17,4,58,2004,1148,856,393,588,22,46,13,2,53,2015,1096,919,455,616,21,45,13,2,55,1976,1014,961,486,652,26,36,19,1,54,2130,992,1138,629,785,18,45,22,3,47,2028,935,1093,621,743,15,43,20,7,61,2130,978,1152,678,770,24,43,33,17,41
"전체","판매 종사자",1624,870,754,211,226,27,32,375,3,17,1669,902,767,217,246,32,22,363,1,19,1638,900,737,191,259,25,20,345,1,20,1676,928,747,216,259,34,20,328,2,24,1665,930,734,229,252,27,20,322,1,15,1673,909,765,240,276,26,29,323,1,15,1682,878,805,235,339,27,24,321,-,11,1659,905,754,230,310,27,18,321,2,9,1656,846,809,306,335,34,12,318,4,15,1625,834,791,262,351,24,13,297,2,16,1542,725,817,296,397,25,8,294,8,22
"전체","농림어업숙련 종사자",54,27,27,16,4,1,4,-,-,9,48,26,22,16,3,0,1,-,-,5,42,23,19,12,3,0,0,-,-,7,50,26,24,15,5,-,2,-,-,9,44,24,20,12,2,1,0,-,-,8,54,33,21,11,7,-,1,-,-,8,50,27,23,13,3,-,2,-,-,7,64,39,25,16,6,0,1,-,-,5,76,39,37,29,4,0,1,2,-,6,72,37,35,25,8,0,1,2,-,5,72,41,31,20,6,1,2,-,-,8
"전체","기능원 및 관련기능 종사자",1619,1052,566,223,73,12,37,3,7,304,1636,1073,563,235,50,14,36,2,3,296,1670,1089,581,234,69,22,39,1,0,313,1751,1125,626,266,80,21,46,2,1,326,1728,1117,610,275,64,24,41,2,1,287,1748,1113,635,253,90,25,34,4,4,324,1694,1098,595,257,84,17,49,5,-,295,1695,1084,611,248,80,21,32,7,2,308,1762,1097,665,341,94,17,40,6,5,275,1763,1086,677,304,124,19,38,6,6,321,1829,1087,742,333,121,20,41,7,7,360
"전체","장치기계조작 및 조립 종사자",2216,1786,430,322,38,20,70,38,11,27,2217,1811,407,305,38,27,59,26,2,23,2240,1856,384,277,43,21,58,19,4,30,2305,1866,439,323,49,25,62,19,4,32,2328,1873,456,337,45,38,65,19,4,19,2263,1822,441,335,52,25,61,21,2,23,2279,1869,409,300,50,15,66,23,1,15,2200,1825,375,272,42,23,57,30,4,17,2219,1756,463,357,61,27,49,28,2,26,2103,1680,423,329,50,14,32,29,3,32,2114,1678,436,320,71,10,46,34,4,39
