"구분별(1)",구분별(2),2012,2012,2012,2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018
"구분별(1)",구분별(2),제도유무,제도유무,제도유무,쉽게 사용할 수 있다,쉽게 사용할 수 있다,쉽게 사용할 수 있다,전년도 사용여부,전년도 사용여부,전년도 사용여부,제도유무,제도유무,제도유무,쉽게 사용할 수 있다,쉽게 사용할 수 있다,전년도 사용여부,전년도 사용여부,제도유무,제도유무,제도유무,쉽게 사용할 수 있다,쉽게 사용할 수 있다,전년도 사용여부,전년도 사용여부,제도유무,제도유무,제도유무,쉽게 사용할 수 있다,쉽게 사용할 수 있다,전년도 사용여부,전년도 사용여부
"구분별(1)",구분별(2),있음,없음,모름,예,아니오,무응답,사용,비사용,무응답,있음,없음,모름,예,아니오,사용,비사용,있음,없음,모름,예,아니오,사용,비사용,있음,없음,모름,예,아니오,사용,비사용
"전체",소계,42.2,27.0,30.7,86.3,12.2,1.4,54.0,45.6,0.4,51.4,22.9,25.7,85.3,14.7,47.6,52.4,45.3,27.3,27.4,88.4,11.6,47.4,52.6,43.7,22.9,33.3,88.1,11.9,44.3,55.7
"규모",100∼299인,25.3,39.4,35.3,96.4,3.6,0.0,63.0,37.0,0.0,25.9,44.6,29.5,93.1,6.9,49.3,50.7,24.2,45.8,30.0,91.9,8.1,57.2,42.8,23.5,37.1,39.3,91.5,8.5,53.7,46.3
"규모",300∼999인,28.0,34.7,37.3,78.2,21.8,0.0,50.6,49.4,0.0,37.8,31.4,30.8,85.5,14.5,55.2,44.8,36.3,32.9,30.8,79.1,20.9,35.5,64.5,29.9,33.8,36.3,90.5,9.5,46.7,53.3
"규모",1000∼1999인,53.5,25.0,21.5,92.3,7.6,0.1,56.9,43.1,0.0,65.2,17.0,17.7,72.4,27.6,51.6,48.4,42.1,30.3,27.7,89.9,10.1,60.5,39.5,47.8,18.8,33.4,92.0,8.0,47.5,52.5
"규모",2000인 이상,59.6,14.5,25.8,84.9,12.5,2.6,51.9,47.3,0.8,64.8,11.2,23.9,86.9,13.1,44.6,55.4,64.2,11.9,23.9,90.0,10.0,46.0,54.0,56.8,13.6,29.6,86.2,13.8,41.6,58.4
"직급",대리급,38.3,26.6,35.0,86.4,13.6,0.1,55.3,44.7,0.0,42.4,25.0,32.5,82.9,17.1,45.9,54.1,45.9,26.3,27.9,92.0,8.0,45.3,54.7,39.3,21.6,39.1,85.1,14.9,43.2,56.8
"직급",과장급,43.5,26.8,29.7,83.7,14.0,2.4,56.6,42.3,1.1,59.0,19.3,21.7,85.9,14.1,49.9,50.1,44.0,28.7,27.3,87.0,13.0,52.9,47.1,48.7,22.3,29.0,88.1,11.9,46.1,53.9
"직급",차장급 이상,44.8,27.7,27.5,89.5,8.9,1.6,49.8,50.2,0.0,51.0,24.6,24.4,86.0,14.0,46.3,53.7,45.8,26.9,27.3,88.0,12.0,45.4,54.6,47.0,27.2,25.8,94.4,5.6,43.6,56.4
